0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/khoa9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/l9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/ly7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/n7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/o8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/t1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/t2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/t3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/t4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/t5.jpg HTTP/1.1" 304 -
