0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l8.jpg HTTP/1.1" 200 13709
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/l9.jpg HTTP/1.1" 200 13034
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly1.jpg HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly2.jpg HTTP/1.1" 200 8906
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly3.jpg HTTP/1.1" 200 10919
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly4.jpg HTTP/1.1" 200 7268
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly5.jpg HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly6.jpg HTTP/1.1" 200 7681
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/ly7.jpg HTTP/1.1" 200 11064
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n2.jpg HTTP/1.1" 200 14739
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n1.jpg HTTP/1.1" 200 10176
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n3.jpg HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n4.jpg HTTP/1.1" 200 14237
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n7.jpg HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/n6.jpg HTTP/1.1" 200 10825
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o1.jpg HTTP/1.1" 200 10504
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o2.jpg HTTP/1.1" 200 8386
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o3.jpg HTTP/1.1" 200 35463
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o4.jpg HTTP/1.1" 200 7425
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o6.jpg HTTP/1.1" 200 8359
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o7.jpg HTTP/1.1" 200 34699
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o8.jpg HTTP/1.1" 200 10901
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t1.jpg HTTP/1.1" 200 9021
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t2.jpg HTTP/1.1" 200 6640
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t3.jpg HTTP/1.1" 200 8267
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t4.jpg HTTP/1.1" 200 30336
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t5.jpg HTTP/1.1" 200 10492
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t6.jpg HTTP/1.1" 200 23887
